	time (s)	Channel 1 (V)	Channel 2 (V)
0	-4.5e-05	0.98001696	1.0035648
1	-4.498e-05	0.99258128	1.0035648
2	-4.496e-05	0.98001696	1.01610936
3	-4.494e-05	0.98001696	1.01610936
4	-4.4920000000000004e-05	0.98001696	1.0035648
5	-4.49e-05	0.99258128	1.01610936
6	-4.4880000000000004e-05	1.0051456	1.0035648
7	-4.486e-05	1.0051456	1.01610936
8	-4.4840000000000004e-05	1.0051456	1.02865392
9	-4.482e-05	1.0051456	1.02865392
10	-4.4800000000000005e-05	1.0051456	1.01610936
11	-4.478e-05	1.0051456	1.02865392
12	-4.4760000000000005e-05	0.99258128	1.02865392
13	-4.474e-05	0.99258128	1.02865392
14	-4.4720000000000006e-05	1.0051456	1.02865392
15	-4.47e-05	1.0051456	1.04119848
16	-4.4680000000000006e-05	1.01770992	1.02865392
17	-4.466e-05	1.01770992	1.04119848
18	-4.464e-05	1.01770992	1.04119848
19	-4.462e-05	1.01770992	1.02865392
20	-4.46e-05	1.01770992	1.04119848
21	-4.4580000000000003e-05	1.0051456	1.04119848
22	-4.456e-05	1.01770992	1.05374304
23	-4.4540000000000004e-05	1.01770992	1.04119848
24	-4.452e-05	1.01770992	1.04119848
25	-4.4500000000000004e-05	1.01770992	1.05374304
26	-4.448e-05	1.03027424	1.04119848
27	-4.4460000000000005e-05	1.01770992	1.05374304
28	-4.444e-05	1.01770992	1.05374304
29	-4.4420000000000005e-05	1.01770992	1.05374304
30	-4.44e-05	1.03027424	1.04119848
31	-4.4380000000000005e-05	1.03027424	1.05374304
32	-4.436e-05	1.03027424	1.05374304
33	-4.4340000000000006e-05	1.03027424	1.05374304
34	-4.432e-05	1.03027424	1.05374304
35	-4.4300000000000006e-05	1.01770992	1.05374304
36	-4.428e-05	1.01770992	1.04119848
37	-4.426e-05	1.03027424	1.05374304
38	-4.424e-05	1.04283856	1.05374304
39	-4.422e-05	1.03027424	1.05374304
40	-4.4200000000000004e-05	1.03027424	1.05374304
41	-4.418e-05	1.01770992	1.05374304
42	-4.4160000000000004e-05	1.03027424	1.05374304
43	-4.414e-05	1.01770992	1.04119848
44	-4.4120000000000004e-05	1.03027424	1.04119848
45	-4.41e-05	1.03027424	1.05374304
46	-4.4080000000000005e-05	1.0051456	1.04119848
47	-4.406e-05	1.03027424	1.05374304
48	-4.4040000000000005e-05	1.01770992	1.05374304
49	-4.402e-05	1.01770992	1.04119848
50	-4.4000000000000006e-05	1.01770992	1.05374304
51	-4.398e-05	1.01770992	1.04119848
52	-4.3960000000000006e-05	1.01770992	1.05374304
53	-4.394e-05	1.01770992	1.04119848
54	-4.392e-05	1.01770992	1.05374304
55	-4.39e-05	1.01770992	1.04119848
56	-4.388e-05	1.01770992	1.05374304
57	-4.3860000000000004e-05	1.01770992	1.05374304
58	-4.384e-05	1.01770992	1.04119848
59	-4.3820000000000004e-05	1.0051456	1.04119848
60	-4.38e-05	1.0051456	1.02865392
61	-4.3780000000000004e-05	1.01770992	1.02865392
62	-4.376e-05	1.01770992	1.02865392
63	-4.3740000000000005e-05	1.0051456	1.02865392
64	-4.372e-05	1.0051456	1.02865392
65	-4.3700000000000005e-05	1.0051456	1.04119848
66	-4.368e-05	0.99258128	1.02865392
67	-4.3660000000000005e-05	1.01770992	1.02865392
68	-4.364e-05	0.99258128	1.01610936
69	-4.3620000000000006e-05	0.99258128	1.02865392
70	-4.36e-05	1.0051456	1.02865392
71	-4.358e-05	0.99258128	1.01610936
72	-4.356e-05	0.99258128	1.01610936
73	-4.354e-05	0.99258128	1.01610936
74	-4.3520000000000003e-05	0.98001696	1.01610936
75	-4.35e-05	0.99258128	1.01610936
76	-4.3480000000000004e-05	0.99258128	1.01610936
77	-4.346e-05	0.98001696	1.0035648
78	-4.3440000000000004e-05	0.98001696	1.0035648
79	-4.342e-05	0.96745264	0.99102024
80	-4.3400000000000005e-05	0.96745264	1.0035648
81	-4.338e-05	0.96745264	1.0035648
82	-4.3360000000000005e-05	0.96745264	1.0035648
83	-4.334e-05	0.96745264	1.0035648
84	-4.3320000000000005e-05	0.95488832	0.99102024
85	-4.33e-05	0.95488832	0.99102024
86	-4.3280000000000006e-05	0.95488832	0.97847568
87	-4.326e-05	0.95488832	0.99102024
88	-4.324e-05	0.95488832	0.97847568
89	-4.322e-05	0.95488832	0.97847568
90	-4.32e-05	0.95488832	0.96593112
91	-4.318e-05	0.95488832	0.96593112
92	-4.316e-05	0.942324	0.96593112
93	-4.3140000000000004e-05	0.92975968	0.96593112
94	-4.312e-05	0.92975968	0.96593112
95	-4.3100000000000004e-05	0.92975968	0.95338656
96	-4.308e-05	0.92975968	0.95338656
97	-4.3060000000000004e-05	0.92975968	0.95338656
98	-4.304e-05	0.91719536	0.940842
99	-4.3020000000000005e-05	0.91719536	0.940842
100	-4.3e-05	0.91719536	0.940842
101	-4.2980000000000005e-05	0.90463104	0.92829744
102	-4.296e-05	0.90463104	0.940842
103	-4.2940000000000006e-05	0.89206672	0.92829744
104	-4.292e-05	0.90463104	0.91575288
105	-4.29e-05	0.90463104	0.92829744
106	-4.288e-05	0.90463104	0.91575288
107	-4.2860000000000006e-05	0.89206672	0.91575288
108	-4.284e-05	0.89206672	0.90320832
109	-4.282e-05	0.8795024	0.91575288
110	-4.2800000000000004e-05	0.8795024	0.89066376
111	-4.278e-05	0.8795024	0.89066376
112	-4.2760000000000004e-05	0.85437376	0.89066376
113	-4.274e-05	0.86693808	0.8781192
114	-4.2720000000000004e-05	0.86693808	0.89066376
115	-4.27e-05	0.85437376	0.86557464
116	-4.2680000000000005e-05	0.85437376	0.86557464
117	-4.266e-05	0.84180944	0.8781192
118	-4.2640000000000005e-05	0.85437376	0.86557464
119	-4.262e-05	0.84180944	0.86557464
120	-4.2600000000000005e-05	0.8292451200000001	0.85303008
121	-4.258e-05	0.8292451200000001	0.85303008
122	-4.2560000000000006e-05	0.8292451200000001	0.84048552
123	-4.254e-05	0.8166808	0.84048552
124	-4.2520000000000006e-05	0.8166808	0.84048552
