	time (s)	Channel 1 (V)	Channel 2 (V)
0	-9e-06	-0.22615776	-0.20380672
1	-8.996e-06	-0.21359344	-0.19106879999999998
2	-8.992e-06	-0.22615776	-0.19106879999999998
3	-8.988000000000001e-06	-0.22615776	-0.20380672
4	-8.984e-06	-0.23872208	-0.21654464
5	-8.98e-06	-0.23872208	-0.20380672
6	-8.976e-06	-0.23872208	-0.21654464
7	-8.972e-06	-0.2512864	-0.22928256
8	-8.968e-06	-0.2512864	-0.22928256
9	-8.964000000000001e-06	-0.2512864	-0.21654464
10	-8.96e-06	-0.26385072	-0.24202047999999998
11	-8.956e-06	-0.27641504	-0.22928256
12	-8.952e-06	-0.27641504	-0.24202047999999998
13	-8.948e-06	-0.26385072	-0.24202047999999998
14	-8.944e-06	-0.27641504	-0.2547584
15	-8.94e-06	-0.27641504	-0.2547584
16	-8.936e-06	-0.27641504	-0.2547584
17	-8.932e-06	-0.28897936	-0.2547584
18	-8.928e-06	-0.30154368	-0.26749632
19	-8.924e-06	-0.30154368	-0.26749632
20	-8.920000000000001e-06	-0.30154368	-0.26749632
21	-8.916e-06	-0.314108	-0.26749632
22	-8.912e-06	-0.314108	-0.26749632
23	-8.908e-06	-0.314108	-0.28023423999999997
24	-8.904e-06	-0.32667232	-0.28023423999999997
25	-8.9e-06	-0.32667232	-0.29297216
26	-8.896000000000001e-06	-0.32667232	-0.29297216
27	-8.892e-06	-0.32667232	-0.29297216
28	-8.888e-06	-0.32667232	-0.30571008
29	-8.884e-06	-0.33923664000000003	-0.30571008
30	-8.88e-06	-0.33923664000000003	-0.30571008
31	-8.876000000000001e-06	-0.33923664000000003	-0.30571008
32	-8.872e-06	-0.35180096	-0.318448
33	-8.868e-06	-0.35180096	-0.318448
34	-8.864e-06	-0.35180096	-0.318448
35	-8.86e-06	-0.36436528	-0.318448
36	-8.856e-06	-0.36436528	-0.33118592
37	-8.852000000000001e-06	-0.36436528	-0.34392384
38	-8.848e-06	-0.37692960000000003	-0.33118592
39	-8.844e-06	-0.37692960000000003	-0.34392384
40	-8.84e-06	-0.38949392	-0.34392384
41	-8.836e-06	-0.38949392	-0.35666176
42	-8.832e-06	-0.38949392	-0.34392384
43	-8.828000000000001e-06	-0.38949392	-0.35666176
44	-8.824e-06	-0.37692960000000003	-0.36939968
45	-8.82e-06	-0.38949392	-0.35666176
46	-8.816e-06	-0.40205824	-0.36939968
47	-8.812e-06	-0.40205824	-0.36939968
48	-8.808000000000001e-06	-0.41462256000000003	-0.36939968
49	-8.804e-06	-0.40205824	-0.36939968
50	-8.8e-06	-0.41462256000000003	-0.38213759999999997
51	-8.796e-06	-0.41462256000000003	-0.38213759999999997
52	-8.792e-06	-0.4397512	-0.38213759999999997
53	-8.788e-06	-0.42718688	-0.38213759999999997
54	-8.784000000000001e-06	-0.4397512	-0.38213759999999997
55	-8.78e-06	-0.4397512	-0.40761344
56	-8.776e-06	-0.4397512	-0.40761344
57	-8.772e-06	-0.45231552	-0.40761344
58	-8.768e-06	-0.4397512	-0.40761344
59	-8.764e-06	-0.45231552	-0.42035136
60	-8.76e-06	-0.45231552	-0.40761344
61	-8.756e-06	-0.45231552	-0.40761344
62	-8.752e-06	-0.45231552	-0.42035136
63	-8.748e-06	-0.46487984	-0.42035136
64	-8.744e-06	-0.46487984	-0.43308928
65	-8.740000000000001e-06	-0.46487984	-0.43308928
66	-8.736e-06	-0.47744416	-0.4458272
67	-8.732e-06	-0.49000848	-0.4458272
68	-8.728e-06	-0.49000848	-0.4458272
69	-8.724e-06	-0.49000848	-0.45856512
70	-8.72e-06	-0.5025728	-0.45856512
71	-8.716000000000001e-06	-0.49000848	-0.4458272
72	-8.712e-06	-0.49000848	-0.45856512
73	-8.708e-06	-0.49000848	-0.47130304
74	-8.704e-06	-0.49000848	-0.45856512
75	-8.7e-06	-0.5025728	-0.48404095999999996
76	-8.696e-06	-0.51513712	-0.47130304
77	-8.692e-06	-0.5025728	-0.48404095999999996
78	-8.688e-06	-0.51513712	-0.48404095999999996
79	-8.684e-06	-0.51513712	-0.48404095999999996
80	-8.68e-06	-0.52770144	-0.48404095999999996
81	-8.676e-06	-0.52770144	-0.48404095999999996
82	-8.672000000000001e-06	-0.52770144	-0.49677888
83	-8.668e-06	-0.54026576	-0.49677888
84	-8.664e-06	-0.52770144	-0.49677888
85	-8.66e-06	-0.54026576	-0.49677888
86	-8.656e-06	-0.54026576	-0.5095168
87	-8.652e-06	-0.54026576	-0.5095168
88	-8.648000000000001e-06	-0.5653944	-0.5095168
89	-8.644e-06	-0.55283008	-0.5095168
90	-8.64e-06	-0.55283008	-0.52225472
91	-8.636e-06	-0.55283008	-0.52225472
92	-8.632e-06	-0.5653944	-0.53499264
93	-8.628e-06	-0.5653944	-0.53499264
94	-8.624e-06	-0.57795872	-0.53499264
95	-8.62e-06	-0.5653944	-0.53499264
96	-8.616e-06	-0.59052304	-0.54773056
97	-8.612e-06	-0.57795872	-0.5604684799999999
98	-8.608e-06	-0.59052304	-0.54773056
99	-8.604000000000001e-06	-0.59052304	-0.5604684799999999
100	-8.6e-06	-0.60308736	-0.54773056
101	-8.596e-06	-0.57795872	-0.5604684799999999
102	-8.592e-06	-0.59052304	-0.5604684799999999
103	-8.588e-06	-0.60308736	-0.5604684799999999
104	-8.584e-06	-0.60308736	-0.5604684799999999
105	-8.580000000000001e-06	-0.60308736	-0.5732064
106	-8.576e-06	-0.61565168	-0.5732064
107	-8.572e-06	-0.61565168	-0.5732064
108	-8.568e-06	-0.61565168	-0.5732064
109	-8.564e-06	-0.61565168	-0.5732064
110	-8.56e-06	-0.628216	-0.58594432
111	-8.556e-06	-0.628216	-0.59868224
112	-8.552e-06	-0.6407803200000001	-0.59868224
113	-8.548e-06	-0.6407803200000001	-0.59868224
114	-8.544e-06	-0.628216	-0.59868224
115	-8.54e-06	-0.6407803200000001	-0.59868224
116	-8.536000000000001e-06	-0.65334464	-0.61142016
117	-8.532e-06	-0.6407803200000001	-0.61142016
118	-8.528e-06	-0.65334464	-0.62415808
119	-8.524e-06	-0.65334464	-0.62415808
120	-8.52e-06	-0.65334464	-0.62415808
121	-8.516e-06	-0.66590896	-0.62415808
122	-8.512e-06	-0.66590896	-0.62415808
123	-8.508e-06	-0.66590896	-0.62415808
124	-8.504e-06	-0.6784732800000001	-0.636896
125	-8.5e-06	-0.66590896	-0.636896
126	-8.496e-06	-0.6784732800000001	-0.62415808
127	-8.492e-06	-0.6784732800000001	-0.636896
128	-8.488e-06	-0.6784732800000001	-0.636896
129	-8.484e-06	-0.6784732800000001	-0.636896
130	-8.48e-06	-0.6784732800000001	-0.64963392
131	-8.476e-06	-0.6910376	-0.64963392
132	-8.472e-06	-0.6910376	-0.66237184
133	-8.468000000000001e-06	-0.6910376	-0.66237184
134	-8.464e-06	-0.70360192	-0.66237184
135	-8.46e-06	-0.70360192	-0.66237184
136	-8.456e-06	-0.70360192	-0.67510976
137	-8.452e-06	-0.70360192	-0.67510976
138	-8.448e-06	-0.7161662400000001	-0.67510976
139	-8.444e-06	-0.7161662400000001	-0.67510976
140	-8.44e-06	-0.70360192	-0.67510976
141	-8.436e-06	-0.72873056	-0.67510976
142	-8.432e-06	-0.72873056	-0.67510976
143	-8.428e-06	-0.72873056	-0.68784768
144	-8.424e-06	-0.72873056	-0.7005856
145	-8.42e-06	-0.72873056	-0.68784768
146	-8.416e-06	-0.72873056	-0.68784768
147	-8.412e-06	-0.74129488	-0.7005856
148	-8.408e-06	-0.72873056	-0.7005856
149	-8.404e-06	-0.74129488	-0.71332352
150	-8.400000000000001e-06	-0.74129488	-0.71332352
151	-8.396e-06	-0.7538592000000001	-0.7005856
152	-8.392e-06	-0.74129488	-0.71332352
153	-8.388e-06	-0.7538592000000001	-0.71332352
154	-8.384e-06	-0.7538592000000001	-0.71332352
155	-8.380000000000001e-06	-0.7538592000000001	-0.71332352
156	-8.376e-06	-0.77898784	-0.71332352
157	-8.372e-06	-0.76642352	-0.72606144
158	-8.368e-06	-0.76642352	-0.72606144
159	-8.364e-06	-0.76642352	-0.73879936
160	-8.36e-06	-0.76642352	-0.73879936
161	-8.356000000000001e-06	-0.76642352	-0.72606144
162	-8.352e-06	-0.77898784	-0.73879936
163	-8.348e-06	-0.77898784	-0.73879936
164	-8.344e-06	-0.7915521600000001	-0.75153728
165	-8.34e-06	-0.7915521600000001	-0.75153728
166	-8.336e-06	-0.7915521600000001	-0.73879936
167	-8.332000000000001e-06	-0.7915521600000001	-0.75153728
168	-8.328e-06	-0.80411648	-0.75153728
169	-8.324e-06	-0.7915521600000001	-0.75153728
170	-8.32e-06	-0.7915521600000001	-0.75153728
171	-8.316e-06	-0.80411648	-0.75153728
172	-8.312000000000001e-06	-0.80411648	-0.7642751999999999
173	-8.308e-06	-0.80411648	-0.7642751999999999
174	-8.304e-06	-0.80411648	-0.77701312
175	-8.3e-06	-0.8166808	-0.77701312
176	-8.296e-06	-0.80411648	-0.77701312
177	-8.292e-06	-0.8166808	-0.77701312
178	-8.288000000000001e-06	-0.8166808	-0.77701312
179	-8.284e-06	-0.80411648	-0.77701312
180	-8.28e-06	-0.8166808	-0.77701312
181	-8.276e-06	-0.8166808	-0.78975104
182	-8.272e-06	-0.8166808	-0.77701312
183	-8.268e-06	-0.8292451200000001	-0.78975104
184	-8.264e-06	-0.8292451200000001	-0.78975104
185	-8.26e-06	-0.84180944	-0.78975104
186	-8.256e-06	-0.8292451200000001	-0.78975104
187	-8.252e-06	-0.84180944	-0.80248896
188	-8.248e-06	-0.8292451200000001	-0.78975104
189	-8.244000000000001e-06	-0.84180944	-0.81522688
190	-8.24e-06	-0.84180944	-0.80248896
191	-8.236e-06	-0.85437376	-0.80248896
192	-8.232e-06	-0.84180944	-0.81522688
193	-8.228e-06	-0.85437376	-0.81522688
194	-8.224e-06	-0.85437376	-0.80248896
195	-8.220000000000001e-06	-0.86693808	-0.8279648
196	-8.216e-06	-0.85437376	-0.81522688
197	-8.212e-06	-0.85437376	-0.8279648
198	-8.208e-06	-0.86693808	-0.8279648
199	-8.204e-06	-0.86693808	-0.8279648
200	-8.2e-06	-0.85437376	-0.8279648
201	-8.196e-06	-0.85437376	-0.8279648
202	-8.192e-06	-0.85437376	-0.84070272
203	-8.188e-06	-0.8795024	-0.8279648
204	-8.184e-06	-0.8795024	-0.84070272
205	-8.18e-06	-0.8795024	-0.84070272
206	-8.176000000000001e-06	-0.8795024	-0.84070272
207	-8.172e-06	-0.8795024	-0.84070272
208	-8.168e-06	-0.8795024	-0.85344064
209	-8.164e-06	-0.89206672	-0.84070272
210	-8.16e-06	-0.89206672	-0.85344064
211	-8.156e-06	-0.8795024	-0.85344064
212	-8.152000000000001e-06	-0.89206672	-0.85344064
213	-8.148e-06	-0.8795024	-0.86617856
214	-8.144e-06	-0.89206672	-0.86617856
215	-8.14e-06	-0.90463104	-0.86617856
216	-8.136e-06	-0.90463104	-0.86617856
217	-8.132e-06	-0.89206672	-0.86617856
218	-8.128e-06	-0.89206672	-0.86617856
219	-8.124e-06	-0.90463104	-0.86617856
220	-8.12e-06	-0.90463104	-0.86617856
221	-8.116e-06	-0.90463104	-0.86617856
222	-8.112e-06	-0.91719536	-0.86617856
223	-8.108000000000001e-06	-0.90463104	-0.87891648
224	-8.104e-06	-0.91719536	-0.87891648
225	-8.1e-06	-0.90463104	-0.87891648
226	-8.096e-06	-0.91719536	-0.86617856
227	-8.092e-06	-0.90463104	-0.8916544
228	-8.088e-06	-0.92975968	-0.87891648
229	-8.084000000000001e-06	-0.91719536	-0.87891648
230	-8.08e-06	-0.91719536	-0.8916544
231	-8.076e-06	-0.91719536	-0.8916544
232	-8.072e-06	-0.92975968	-0.8916544
233	-8.068e-06	-0.91719536	-0.8916544
234	-8.064e-06	-0.92975968	-0.8916544
235	-8.06e-06	-0.92975968	-0.8916544
236	-8.056e-06	-0.92975968	-0.91713024
237	-8.052e-06	-0.942324	-0.90439232
238	-8.048e-06	-0.942324	-0.8916544
239	-8.044e-06	-0.942324	-0.90439232
240	-8.040000000000001e-06	-0.942324	-0.90439232
241	-8.036e-06	-0.942324	-0.90439232
242	-8.032e-06	-0.92975968	-0.90439232
243	-8.028e-06	-0.942324	-0.91713024
244	-8.024e-06	-0.942324	-0.90439232
245	-8.02e-06	-0.942324	-0.90439232
246	-8.016e-06	-0.95488832	-0.90439232
247	-8.012e-06	-0.942324	-0.90439232
248	-8.008e-06	-0.95488832	-0.9298681599999999
249	-8.004e-06	-0.95488832	-0.91713024
250	-8e-06	-0.96745264	-0.91713024
251	-7.996e-06	-0.95488832	-0.91713024
252	-7.992e-06	-0.95488832	-0.91713024
253	-7.988e-06	-0.96745264	-0.9298681599999999
254	-7.984e-06	-0.96745264	-0.9298681599999999
255	-7.98e-06	-0.96745264	-0.9298681599999999
256	-7.976e-06	-0.96745264	-0.91713024
