	time (s)	Channel 1 (V)	Channel 2 (V)
0	-0.000205	-0.59052304	-0.55028336
1	-0.0002049	-0.59052304	-0.55028336
2	-0.0002048	-0.59052304	-0.57529624
3	-0.0002047	-0.60308736	-0.57529624
4	-0.00020459999999999999	-0.61565168	-0.57529624
5	-0.00020449999999999998	-0.61565168	-0.57529624
6	-0.0002044	-0.628216	-0.58780268
7	-0.0002043	-0.628216	-0.57529624
8	-0.0002042	-0.628216	-0.58780268
9	-0.0002041	-0.628216	-0.58780268
10	-0.000204	-0.628216	-0.58780268
11	-0.0002039	-0.628216	-0.60030912
12	-0.0002038	-0.628216	-0.58780268
13	-0.0002037	-0.6407803200000001	-0.60030912
14	-0.0002036	-0.6407803200000001	-0.61281556
15	-0.00020349999999999999	-0.65334464	-0.60030912
16	-0.00020339999999999998	-0.65334464	-0.61281556
17	-0.0002033	-0.6407803200000001	-0.61281556
18	-0.0002032	-0.65334464	-0.625322
19	-0.0002031	-0.66590896	-0.625322
20	-0.000203	-0.66590896	-0.625322
21	-0.0002029	-0.66590896	-0.625322
22	-0.0002028	-0.6784732800000001	-0.625322
23	-0.0002027	-0.66590896	-0.63782844
24	-0.0002026	-0.6784732800000001	-0.625322
25	-0.0002025	-0.6784732800000001	-0.6503348800000001
26	-0.0002024	-0.6784732800000001	-0.63782844
27	-0.00020229999999999998	-0.6784732800000001	-0.63782844
28	-0.0002022	-0.6910376	-0.6503348800000001
29	-0.0002021	-0.6910376	-0.6503348800000001
30	-0.000202	-0.70360192	-0.6628413200000001
31	-0.0002019	-0.6910376	-0.6628413200000001
32	-0.0002018	-0.70360192	-0.6628413200000001
33	-0.0002017	-0.70360192	-0.6628413200000001
34	-0.0002016	-0.7161662400000001	-0.6628413200000001
35	-0.0002015	-0.7161662400000001	-0.6753477600000001
36	-0.0002014	-0.70360192	-0.6753477600000001
37	-0.0002013	-0.7161662400000001	-0.6753477600000001
38	-0.00020119999999999998	-0.7161662400000001	-0.6878542000000001
39	-0.0002011	-0.7161662400000001	-0.6878542000000001
40	-0.000201	-0.74129488	-0.70036064
41	-0.0002009	-0.74129488	-0.70036064
42	-0.0002008	-0.72873056	-0.6878542000000001
43	-0.0002007	-0.74129488	-0.70036064
44	-0.0002006	-0.74129488	-0.70036064
45	-0.0002005	-0.72873056	-0.70036064
46	-0.0002004	-0.7538592000000001	-0.70036064
47	-0.0002003	-0.7538592000000001	-0.71286708
48	-0.0002002	-0.7538592000000001	-0.71286708
49	-0.00020009999999999998	-0.74129488	-0.72537352
50	-0.00019999999999999998	-0.7538592000000001	-0.71286708
51	-0.0001999	-0.7538592000000001	-0.72537352
52	-0.0001998	-0.76642352	-0.72537352
53	-0.0001997	-0.7538592000000001	-0.73787996
54	-0.0001996	-0.76642352	-0.73787996
55	-0.0001995	-0.77898784	-0.73787996
56	-0.0001994	-0.77898784	-0.73787996
57	-0.0001993	-0.77898784	-0.73787996
58	-0.0001992	-0.77898784	-0.73787996
59	-0.0001991	-0.77898784	-0.73787996
60	-0.00019899999999999999	-0.77898784	-0.73787996
61	-0.00019889999999999998	-0.7915521600000001	-0.7503864
62	-0.0001988	-0.7915521600000001	-0.7503864
63	-0.0001987	-0.7915521600000001	-0.7503864
64	-0.0001986	-0.7915521600000001	-0.76289284
65	-0.0001985	-0.7915521600000001	-0.7503864
66	-0.0001984	-0.80411648	-0.76289284
67	-0.0001983	-0.7915521600000001	-0.76289284
68	-0.0001982	-0.7915521600000001	-0.76289284
69	-0.0001981	-0.7915521600000001	-0.77539928
70	-0.000198	-0.8166808	-0.77539928
71	-0.00019789999999999999	-0.8166808	-0.77539928
72	-0.00019779999999999998	-0.8166808	-0.77539928
73	-0.0001977	-0.8292451200000001	-0.77539928
74	-0.0001976	-0.8166808	-0.77539928
75	-0.0001975	-0.8166808	-0.78790572
76	-0.0001974	-0.8166808	-0.78790572
77	-0.0001973	-0.8166808	-0.77539928
78	-0.0001972	-0.8292451200000001	-0.78790572
79	-0.0001971	-0.8292451200000001	-0.78790572
80	-0.000197	-0.8292451200000001	-0.78790572
81	-0.0001969	-0.84180944	-0.80041216
82	-0.00019679999999999999	-0.85437376	-0.80041216
83	-0.00019669999999999998	-0.8292451200000001	-0.80041216
84	-0.0001966	-0.84180944	-0.80041216
85	-0.0001965	-0.84180944	-0.8129186
86	-0.0001964	-0.85437376	-0.80041216
87	-0.0001963	-0.85437376	-0.80041216
88	-0.0001962	-0.85437376	-0.8129186
89	-0.0001961	-0.86693808	-0.8129186
90	-0.000196	-0.85437376	-0.80041216
91	-0.0001959	-0.8795024	-0.8129186
92	-0.0001958	-0.85437376	-0.82542504
