	time (s)	Channel 1 (V)	Channel 2 (V)
0	-0.00058	0.23872208	0.27599352
1	-0.0005796	0.23872208	0.27599352
2	-0.0005792	0.22615776	0.26344836
3	-0.0005788	0.22615776	0.26344836
4	-0.0005784	0.21359344	0.2509032
5	-0.000578	0.21359344	0.23835804
6	-0.0005776	0.20102912	0.23835804
7	-0.0005772	0.18846480000000002	0.22581288
8	-0.0005768	0.18846480000000002	0.22581288
9	-0.0005764	0.18846480000000002	0.21326772
10	-0.000576	0.18846480000000002	0.21326772
11	-0.0005756	0.16333616	0.20072256
12	-0.0005752	0.16333616	0.1881774
13	-0.0005748	0.15077184	0.1881774
14	-0.0005744	0.15077184	0.1881774
15	-0.000574	0.13820752	0.17563224
16	-0.0005736	0.13820752	0.17563224
17	-0.0005732000000000001	0.13820752	0.16308708
18	-0.0005728	0.11307888	0.16308708
19	-0.0005724	0.1256432	0.16308708
20	-0.000572	0.11307888	0.13799676
21	-0.0005716	0.11307888	0.1254516
22	-0.0005712	0.10051456	0.1254516
23	-0.0005708	0.08795024	0.11290644
24	-0.0005704	0.08795024	0.1254516
25	-0.00057	0.08795024	0.11290644
26	-0.0005696	0.07538592	0.10036128
27	-0.0005692	0.05025728	0.10036128
28	-0.0005688000000000001	0.0628216	0.07527096
29	-0.0005684	0.05025728	0.08781612
30	-0.000568	0.03769296	0.07527096
31	-0.0005676	0.03769296	0.0627258
32	-0.0005672	0.02512864	0.0627258
33	-0.0005668	0.03769296	0.0627258
34	-0.0005664	0.02512864	0.0627258
35	-0.000566	0.01256432	0.03763548
36	-0.0005656	0.01256432	0.03763548
37	-0.0005652	0.0	0.02509032
38	-0.0005648	0.0	0.02509032
39	-0.0005644000000000001	-0.01256432	0.01254516
40	-0.000564	-0.01256432	0.01254516
41	-0.0005636	-0.03769296	0.0
42	-0.0005632	-0.02512864	0.0
43	-0.0005628	-0.03769296	0.0
44	-0.0005624	-0.03769296	-0.01254516
45	-0.000562	-0.0628216	-0.01254516
46	-0.0005616	-0.0628216	-0.03763548
47	-0.0005612	-0.07538592	-0.03763548
